万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688001.SH,688001,20220812,91746800,0,94809,A,S,398800,3558
688001.SH,688001,20220812,91807050,0,96292,A,S,450000,500
688001.SH,688001,20220812,91814090,0,88517,D,B,375200,200
688001.SH,688001,20220812,91814090,0,88518,D,B,375200,200
688001.SH,688001,20220812,91814170,0,96749,A,S,399500,520
688001.SH,688001,20220812,91831000,0,97967,A,S,450000,500
688001.SH,688001,20220812,91831830,0,98035,A,S,413300,1000
688001.SH,688001,20220812,91855020,0,99696,A,S,379000,200
688001.SH,688001,20220812,91933960,0,102649,A,S,401900,1120
688001.SH,688001,20220812,91944430,0,103465,A,S,428900,200
688001.SH,688001,20220812,92005090,0,105409,A,S,450000,900
688001.SH,688001,20220812,92005730,0,105465,A,S,390000,1000
688001.SH,688001,20220812,92022860,0,106929,A,S,450000,800
688001.SH,688001,20220812,92027970,0,107394,A,S,449900,2000
688001.SH,688001,20220812,92049620,0,109424,A,S,415000,1000
688001.SH,688001,20220812,92111270,0,111394,A,S,439000,1000
688001.SH,688001,20220812,92133410,0,113438,A,S,395200,500
688001.SH,688001,20220812,92141130,0,114223,A,B,367100,200
688001.SH,688001,20220812,92143830,0,114476,A,S,450200,500
688001.SH,688001,20220812,92150610,0,115132,A,S,395300,600
688001.SH,688001,20220812,92152570,0,115323,A,B,364100,200
688001.SH,688001,20220812,92203440,0,116436,A,B,360200,200
688001.SH,688001,20220812,92219760,0,118083,A,B,357100,200
688001.SH,688001,20220812,92220870,0,118193,A,S,390000,200
688001.SH,688001,20220812,92221440,0,118245,A,B,369300,200
688001.SH,688001,20220812,92229590,0,119101,A,B,365500,1000
688001.SH,688001,20220812,92304730,0,123199,A,B,375800,800
688001.SH,688001,20220812,92326540,0,125855,A,S,418900,7164
688001.SH,688001,20220812,92328180,0,126060,A,S,396600,400
688001.SH,688001,20220812,92346790,0,128455,A,B,371000,600
688001.SH,688001,20220812,92356000,0,129643,A,S,370000,300
688001.SH,688001,20220812,92415170,0,132776,A,S,391300,510
688001.SH,688001,20220812,92416260,0,132971,A,S,382300,200
688001.SH,688001,20220812,92421740,0,133963,A,S,374600,286
688001.SH,688001,20220812,92430840,0,135862,A,S,398200,2200
688001.SH,688001,20220812,92436450,0,136966,A,S,379300,200
688001.SH,688001,20220812,92437100,0,137124,A,B,374400,218
688001.SH,688001,20220812,92437170,0,137141,A,B,374000,260
688001.SH,688001,20220812,92440010,0,137742,A,S,384000,300
688001.SH,688001,20220812,92442060,0,138154,A,B,368600,200
688001.SH,688001,20220812,92443430,0,138432,A,S,405000,10000
688001.SH,688001,20220812,92444050,0,138559,A,S,384700,300
688001.SH,688001,20220812,92446050,0,138966,A,S,450000,4013
688001.SH,688001,20220812,92446570,0,139061,A,B,368000,2000
688001.SH,688001,20220812,92447570,0,139254,A,S,419900,8430
688001.SH,688001,20220812,92448570,0,139500,A,S,375400,1200
688001.SH,688001,20220812,92448770,0,139563,A,S,300200,200
688001.SH,688001,20220812,92448990,0,139640,A,S,450000,200
688001.SH,688001,20220812,92454500,0,141861,A,S,379900,500
688001.SH,688001,20220812,92455330,0,142270,A,S,378600,2000
688001.SH,688001,20220812,92455760,0,142438,A,S,364400,200
688001.SH,688001,20220812,92457780,0,143394,A,B,365200,2096
688001.SH,688001,20220812,92458500,0,143748,A,S,375000,13888
688001.SH,688001,20220812,92459360,0,144365,A,S,374500,800
688001.SH,688001,20220812,93000130,0,145121,A,S,378800,10000
688001.SH,688001,20220812,93000300,0,146886,A,S,409800,1750
688001.SH,688001,20220812,93000510,0,149546,A,S,375000,5757
688001.SH,688001,20220812,93000700,0,152076,A,B,372000,1000
688001.SH,688001,20220812,93000840,0,154153,A,S,374900,400
688001.SH,688001,20220812,93000840,0,154513,A,S,436300,200
688001.SH,688001,20220812,93000840,0,154610,A,S,450000,300
688001.SH,688001,20220812,93000840,0,154611,A,S,377700,100
688001.SH,688001,20220812,93000840,0,154614,A,B,363000,250
688001.SH,688001,20220812,93001120,0,158235,A,S,374300,126
688001.SH,688001,20220812,93001260,0,159098,A,S,374500,200
688001.SH,688001,20220812,93001440,0,161474,A,B,360000,8873
688001.SH,688001,20220812,93001440,0,162200,A,B,371100,200
688001.SH,688001,20220812,93001590,0,163185,A,B,370500,400
688001.SH,688001,20220812,93001720,0,164297,A,S,374400,200
688001.SH,688001,20220812,93001720,0,164306,A,S,374400,200
688001.SH,688001,20220812,93001720,0,164665,A,S,374300,498
688001.SH,688001,20220812,93001720,0,165475,A,S,374400,500
688001.SH,688001,20220812,93001720,0,165682,A,S,383800,500
688001.SH,688001,20220812,93001720,0,165766,A,S,374400,200
688001.SH,688001,20220812,93002170,0,170039,A,B,370500,300
688001.SH,688001,20220812,93002170,0,170365,A,S,396900,500
688001.SH,688001,20220812,93002280,0,171734,A,S,374500,212
688001.SH,688001,20220812,93002420,0,172886,A,S,373900,200
688001.SH,688001,20220812,93002420,0,173366,A,S,374300,200
688001.SH,688001,20220812,93002420,0,173584,A,S,374900,200
688001.SH,688001,20220812,93002560,0,174622,A,S,390000,800
688001.SH,688001,20220812,93002560,0,176201,A,S,374400,201
688001.SH,688001,20220812,93002560,0,176278,A,S,374400,227
688001.SH,688001,20220812,93002560,0,176354,A,S,374400,200
688001.SH,688001,20220812,93002710,0,176456,A,S,374400,201
688001.SH,688001,20220812,93002710,0,144365,D,S,374500,100
688001.SH,688001,20220812,93002710,0,177629,A,S,374400,200
688001.SH,688001,20220812,93002710,0,177981,A,S,379100,1000
688001.SH,688001,20220812,93002870,0,179083,A,S,403700,500
688001.SH,688001,20220812,93003020,0,180290,A,S,374300,200
688001.SH,688001,20220812,93003020,0,180479,A,S,374300,200
688001.SH,688001,20220812,93003170,0,115132,D,S,395300,600
688001.SH,688001,20220812,93003170,0,182881,A,S,375000,200
688001.SH,688001,20220812,93003170,0,182965,A,S,374400,200
688001.SH,688001,20220812,93003170,0,183545,A,S,380000,500
688001.SH,688001,20220812,93003300,0,184751,A,S,374300,396
688001.SH,688001,20220812,93003300,0,184756,A,S,374300,492
688001.SH,688001,20220812,93003460,0,185672,A,S,374400,200
688001.SH,688001,20220812,93003460,0,186168,A,S,374400,200
688001.SH,688001,20220812,93003460,0,186390,A,B,366100,200
688001.SH,688001,20220812,93003460,0,186466,A,S,373800,400
688001.SH,688001,20220812,93003460,0,164297,D,S,374400,200
688001.SH,688001,20220812,93003460,0,187085,A,S,374300,200
688001.SH,688001,20220812,93003460,0,187086,A,S,374300,200
688001.SH,688001,20220812,93003580,0,187535,A,S,374000,200
688001.SH,688001,20220812,93003580,0,187786,A,S,382800,1408
688001.SH,688001,20220812,93003580,0,176456,D,S,374400,201
688001.SH,688001,20220812,93003730,0,189383,A,S,377300,20525
688001.SH,688001,20220812,93003730,0,189431,A,S,374300,389
688001.SH,688001,20220812,93003730,0,189558,A,B,372000,400
688001.SH,688001,20220812,93003730,0,189609,A,S,374400,249
688001.SH,688001,20220812,93003730,0,189617,A,S,374400,207
688001.SH,688001,20220812,93003730,0,189705,A,S,373000,200
688001.SH,688001,20220812,93003730,0,190390,A,S,374400,1800
688001.SH,688001,20220812,93003860,0,192031,A,S,374400,200
688001.SH,688001,20220812,93003970,0,182881,D,S,375000,200
688001.SH,688001,20220812,93003970,0,192559,A,S,374400,1330
688001.SH,688001,20220812,93004050,0,193177,A,S,376000,2000
688001.SH,688001,20220812,93004050,0,193345,A,S,387000,600
688001.SH,688001,20220812,93004120,0,193872,A,B,373800,1093
688001.SH,688001,20220812,93004120,0,193940,A,S,374400,3600
688001.SH,688001,20220812,93004200,0,194807,A,B,369000,200
688001.SH,688001,20220812,93004200,0,194811,A,S,411800,1234
688001.SH,688001,20220812,93004280,0,195368,A,B,360000,400
688001.SH,688001,20220812,93004360,0,195994,A,S,389000,200
688001.SH,688001,20220812,93004390,0,196349,A,B,366000,1000
688001.SH,688001,20220812,93004390,0,196361,A,S,377700,6500
688001.SH,688001,20220812,93004420,0,164306,D,S,374400,200
688001.SH,688001,20220812,93004570,0,165766,D,S,374400,200
688001.SH,688001,20220812,93004640,0,198074,A,B,370100,800
688001.SH,688001,20220812,93004690,0,198495,A,B,370400,2187
688001.SH,688001,20220812,93004820,0,199217,A,S,384500,200
688001.SH,688001,20220812,93004910,0,199664,A,S,390000,200
688001.SH,688001,20220812,93004950,0,200073,A,S,380000,200
688001.SH,688001,20220812,93005050,0,200844,A,S,374400,371
688001.SH,688001,20220812,93005220,0,201716,A,S,374400,204
688001.SH,688001,20220812,93005290,0,202064,A,S,375200,2000
688001.SH,688001,20220812,93005370,0,202526,A,S,374400,337
688001.SH,688001,20220812,93005600,0,203385,A,B,365000,1000
688001.SH,688001,20220812,93005640,0,203711,A,S,400000,250
688001.SH,688001,20220812,93005760,0,204310,A,S,410000,250
688001.SH,688001,20220812,93005760,0,177629,D,S,374400,200
688001.SH,688001,20220812,93005830,0,204716,A,B,350000,8600
688001.SH,688001,20220812,93005830,0,204785,A,S,373900,200
688001.SH,688001,20220812,93005950,0,205391,A,S,374400,339
688001.SH,688001,20220812,93006040,0,205763,A,S,374400,400
688001.SH,688001,20220812,93006040,0,205785,A,B,372000,300
688001.SH,688001,20220812,93006110,0,206109,A,S,374400,302
688001.SH,688001,20220812,93006120,0,206186,A,S,374400,210
688001.SH,688001,20220812,93006230,0,206941,A,S,373900,200
688001.SH,688001,20220812,93006250,0,207117,A,S,385100,1000
688001.SH,688001,20220812,93006330,0,207704,A,S,373800,108
688001.SH,688001,20220812,93006420,0,208406,A,S,395600,1000
688001.SH,688001,20220812,93006440,0,190390,D,S,374400,1800
688001.SH,688001,20220812,93006480,0,208656,A,S,450000,250
688001.SH,688001,20220812,93006480,0,208668,A,S,373900,208
688001.SH,688001,20220812,93006480,0,208701,A,S,374400,266
688001.SH,688001,20220812,93006510,0,171734,D,S,374500,212
688001.SH,688001,20220812,93006540,0,209061,A,S,374400,310
688001.SH,688001,20220812,93006540,0,209213,A,S,373500,200
